/mnt/nvme0/home/utbt/KhoaVM/khoa-env/lib/python3.12/site-packages/albumentations/core/validation.py:132: UserWarning: ShiftScaleRotate is a special case of Affine transform. Please use Affine transform instead.
  original_init(self, **validated_kwargs)
/mnt/nvme0/home/utbt/KhoaVM/khoa-env/lib/python3.12/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/mnt/nvme0/home/utbt/KhoaVM/khoa-env/lib/python3.12/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
/mnt/nvme0/home/utbt/KhoaVM/NoisySAM/mobile_sam/modeling/tiny_vit_sam.py:656: UserWarning: Overwriting tiny_vit_5m_224 in registry with mobile_sam.modeling.tiny_vit_sam.tiny_vit_5m_224. This is because the name being registered conflicts with an existing name. Please check if this is not expected.
  return register_model(fn_wrapper)
/mnt/nvme0/home/utbt/KhoaVM/NoisySAM/mobile_sam/modeling/tiny_vit_sam.py:656: UserWarning: Overwriting tiny_vit_11m_224 in registry with mobile_sam.modeling.tiny_vit_sam.tiny_vit_11m_224. This is because the name being registered conflicts with an existing name. Please check if this is not expected.
  return register_model(fn_wrapper)
/mnt/nvme0/home/utbt/KhoaVM/NoisySAM/mobile_sam/modeling/tiny_vit_sam.py:656: UserWarning: Overwriting tiny_vit_21m_224 in registry with mobile_sam.modeling.tiny_vit_sam.tiny_vit_21m_224. This is because the name being registered conflicts with an existing name. Please check if this is not expected.
  return register_model(fn_wrapper)
/mnt/nvme0/home/utbt/KhoaVM/NoisySAM/mobile_sam/modeling/tiny_vit_sam.py:656: UserWarning: Overwriting tiny_vit_21m_384 in registry with mobile_sam.modeling.tiny_vit_sam.tiny_vit_21m_384. This is because the name being registered conflicts with an existing name. Please check if this is not expected.
  return register_model(fn_wrapper)
/mnt/nvme0/home/utbt/KhoaVM/NoisySAM/mobile_sam/modeling/tiny_vit_sam.py:656: UserWarning: Overwriting tiny_vit_21m_512 in registry with mobile_sam.modeling.tiny_vit_sam.tiny_vit_21m_512. This is because the name being registered conflicts with an existing name. Please check if this is not expected.
  return register_model(fn_wrapper)
Noise: none | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.53, 'Dice': 0.64, 'Precision': 0.6067, 'Recall': 0.7467}
Noise: flip | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.5767, 'Dice': 0.6933, 'Precision': 0.6533, 'Recall': 0.7967}
Noise: rotation | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.51, 'Dice': 0.63, 'Precision': 0.6533, 'Recall': 0.74}
Noise: scale | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.5567, 'Dice': 0.6667, 'Precision': 0.6467, 'Recall': 0.7367}
Noise: noise injection | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.4467, 'Dice': 0.5633, 'Precision': 0.4833, 'Recall': 0.8367}
Noise: color | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.5267, 'Dice': 0.6367, 'Precision': 0.6067, 'Recall': 0.7433}
Noise: contrast | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.5267, 'Dice': 0.6367, 'Precision': 0.6067, 'Recall': 0.7467}
Noise: sharpen | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.53, 'Dice': 0.6467, 'Precision': 0.59, 'Recall': 0.79}
Noise: translation | Model: mobile_sam | Dataset: VOC2012 | {'Iou': 0.5333, 'Dice': 0.6467, 'Precision': 0.6433, 'Recall': 0.7233}


Noise: none | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.92, 'Dice': 0.9533, 'Precision': 0.97, 'Recall': 0.95}
Noise: flip | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.9167, 'Dice': 0.9533, 'Precision': 0.97, 'Recall': 0.94}
Noise: rotation | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.8033, 'Dice': 0.8567, 'Precision': 0.87, 'Recall': 0.8633}
Noise: scale | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.9233, 'Dice': 0.9567, 'Precision': 0.97, 'Recall': 0.95}
Noise: noise injection | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.9233, 'Dice': 0.9567, 'Precision': 0.9433, 'Recall': 0.9733}
Noise: color | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.92, 'Dice': 0.9533, 'Precision': 0.9667, 'Recall': 0.95}
Noise: contrast | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.92, 'Dice': 0.9533, 'Precision': 0.97, 'Recall': 0.9533}
Noise: sharpen | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.92, 'Dice': 0.9533, 'Precision': 0.9667, 'Recall': 0.9533}
Noise: translation | Model: mobile_sam | Dataset: BSDS500 | {'Iou': 0.77, 'Dice': 0.8, 'Precision': 0.81, 'Recall': 0.8433}


Noise: none | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.8067, 'Dice': 0.89, 'Precision': 0.9267, 'Recall': 0.8667}
Noise: flip | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.7967, 'Dice': 0.8733, 'Precision': 0.8667, 'Recall': 0.89}
Noise: rotation | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.73, 'Dice': 0.81, 'Precision': 0.8133, 'Recall': 0.83}
Noise: scale | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.8, 'Dice': 0.88, 'Precision': 0.93, 'Recall': 0.8567}
Noise: noise injection | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.7233, 'Dice': 0.82, 'Precision': 0.7767, 'Recall': 0.8867}
Noise: color | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.8167, 'Dice': 0.8933, 'Precision': 0.9333, 'Recall': 0.87}
Noise: contrast | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.8, 'Dice': 0.8833, 'Precision': 0.9267, 'Recall': 0.86}
Noise: sharpen | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.8033, 'Dice': 0.8867, 'Precision': 0.8867, 'Recall': 0.9033}
Noise: translation | Model: mobile_sam | Dataset: stanford-background | {'Iou': 0.6633, 'Dice': 0.7333, 'Precision': 0.76, 'Recall': 0.7867}



Total time: 147.31 seconds
